"","id","case_","x_","y_","annual_100m","perennial_100m","shrub_100m","annual_500m","perennial_500m","shrub_500m","territory","sex"
"139",1,FALSE,547408.483196763,4799309.82056104,18.1666666666667,18.6666666666667,7.25,17.641196013289,17.21926910299,8.46511627906977,"HHGS_DS","female"
"140",1,FALSE,547657.60814613,4803100.76778959,11.3636363636364,33,10.4545454545455,10.66,31.2566666666667,12.0866666666667,"HHGS_DS","female"
"141",1,FALSE,547380.399294808,4806895.31759011,15.2857142857143,21.2857142857143,9.14285714285714,11.3489932885906,31.2080536912752,5.63422818791946,"HHGS_DS","female"
"142",1,FALSE,549356.328780591,4801879.1510645,12.2857142857143,38.2857142857143,9.14285714285714,14.8322147651007,32.7785234899329,7.8255033557047,"HHGS_DS","female"
"143",1,FALSE,546416.479291876,4802721.47223486,18.5454545454545,46.7272727272727,4.45454545454545,16.8080808080808,40.5185185185185,5.996632996633,"HHGS_DS","female"
"144",1,FALSE,546908.739678706,4809906.57133198,22.4,39.3,8.9,14.3221476510067,41.9798657718121,9.3758389261745,"HHGS_DS","female"
"145",1,FALSE,548665.598221651,4808622.76065143,13.25,39,8.08333333333333,15.0501672240803,40.4615384615385,7.23745819397993,"HHGS_DS","female"
"146",1,FALSE,547100.068583175,4804267.83598391,14.75,37.6666666666667,9.83333333333333,15.4006622516556,39.0662251655629,8.14569536423841,"HHGS_DS","female"
"147",1,FALSE,546882.302192279,4802566.42908713,18.9166666666667,39.0833333333333,6.16666666666667,18.658940397351,39.9966887417219,5.33774834437086,"HHGS_DS","female"
"148",1,FALSE,547975.985512661,4798073.64021258,20.5,16.1,9.6,20.6442953020134,18.8489932885906,8.49328859060403,"HHGS_DS","female"
"149",1,FALSE,546982.063378037,4791789.75510134,58.0909090909091,4.72727272727273,6,40.3908794788274,14.2866449511401,8.09446254071661,"HHGS_DS","female"
"150",1,FALSE,547060.827521025,4799032.40698519,23.5454545454545,18,5.27272727272727,23.4150326797386,17.9313725490196,5.73529411764706,"HHGS_DS","female"
"151",1,FALSE,546498.932777325,4802729.23392508,15.8333333333333,41.4166666666667,6.58333333333333,16.7306397306397,40.3198653198653,5.83501683501683,"HHGS_DS","female"
